Title,OriginalArtist,Album,Key,Length,YouTubeUrl,SpotifyUrl,SongsterrUrl,Genre
Any Way You Want It,Journey,,,,,,,Classic Rock
Hit Me with Your Best Shot,Pat Benatar,,,,,,,Classic Rock
Here I Go Again,Whitesnake,,,,,,,Classic Rock
Pour Some Sugar on Me,Def Leppard,,,,,,,Classic Rock
Magic Carpet Ride,Steppenwolf,,,,,,,Classic Rock
Old Time Rock & Roll,Bob Seger,,,,,,,Classic Rock
Keep Your Hands to Yourself,Georgia Satellites,,,,,,,Classic Rock
Life in the Fast Lane,Eagles,,,,,,,Classic Rock
Long Train Runnin',The Doobie Brothers,,,,,,,Classic Rock
Your Love,The Outfield,,,,,,,Classic Rock
Rock and Roll,Led Zeppelin,,,,,,,Classic Rock
Tush,ZZ Top,,,,,,,Classic Rock
Walk This Way,Aerosmith,,,,,,,Classic Rock
I Love Rock 'n' Roll,Joan Jett & The Blackhearts,,,,,,,Classic Rock
Roadhouse Blues,The Doors,,,,,,,Classic Rock
Hard to Handle,The Black Crowes,,,,,,,Classic Rock
You Shook Me All Night Long,AC/DC,,,,,,,Classic Rock
American Girl,Tom Petty & the Heartbreakers,,,,,,,Classic Rock
Summer of '69,Bryan Adams,,,,,,,Classic Rock
Brown Eyed Girl,Van Morrison,,,,,,,Classic Rock
Sweet Caroline,Neil Diamond,,,,,,,Classic Rock
Jessie's Girl,Rick Springfield,,,,,,,Classic Rock
Livin' on a Prayer,Bon Jovi,,,,,,,Classic Rock
Take It Easy,Eagles,,,,,,,Classic Rock
Werewolves of London,Warren Zevon,,,,,,,Classic Rock
Refugee,Tom Petty & the Heartbreakers,,,,,,,Classic Rock
Listen to the Music,The Doobie Brothers,,,,,,,Classic Rock
Fly Like an Eagle,Steve Miller Band,,,,,,,Classic Rock
Every Rose Has Its Thorn,Poison,,,,,,,Classic Rock
Cat Scratch Fever,Ted Nugent,,,,,,,Classic Rock
What's Up?,4 Non Blondes,,,,,,,Alt-Rock/Grunge
You Oughta Know,Alanis Morissette,,,,,,,Alt-Rock/Grunge
Sabotage,Beastie Boys,,,,,,,Alt-Rock/Grunge
Loser,Beck,,,,,,,Alt-Rock/Grunge
Brick,Ben Folds Five,,,,,,,Alt-Rock/Grunge
No Rain,Blind Melon,,,,,,,Alt-Rock/Grunge
All the Small Things,Blink-182,,,,,,,Alt-Rock/Grunge
Run-Around,Blues Traveler,,,,,,,Alt-Rock/Grunge
Song 2,Blur,,,,,,,Alt-Rock/Grunge
